rank,acci_name_ar,acci_name_normalized,count,share
174,حادث صدم ترام- بسيط,حادث صدم ترام - بسيط,8,0.00001111
175,حادث تدهور صهريج لمواد قابلة للاشتعال- بسيط,حادث تدهور صهريج لمواد قابلة للاشتعال - بسيط,8,0.00001111
176,صدم صهريج مواد كيماوية - بليغ,صدم صهريج مواد كيماوية - بليغ,8,0.00001111
177,تدهور صهريج لمواد قابلة للاشتعال - بليغ,تدهور صهريج لمواد قابلة للاشتعال - بليغ,8,0.00001111
178,حادث ضد مجهول,حادث ضد مجهول,8,0.00001111
179,حادث صدم لوحة إرشادية- متوسط,حادث صدم لوحة إرشادية - متوسط,8,0.00001111
180,سقوط رافعة- بليغ,سقوط رافعة - بليغ,7,0.00000972
181,حادث صدم و هروب,حادث صدم و هروب,6,0.00000833
182,حادث صدم اشارة مرورية- بليغ,حادث صدم اشارة مرورية - بليغ,6,0.00000833
183,حادث صدم دراجة,حادث صدم دراجة,6,0.00000833
184,حادث اصطدام بين عدة سيارات,حادث اصطدام بين عدة سيارات,6,0.00000833
185,حادث صدم جدار,حادث صدم جدار,6,0.00000833
186,حادث صدم مبنى او بيوت او معرض- بليغ,حادث صدم مبنى او بيوت او معرض - بليغ,5,0.00000694
187,صدم صهريج مواد كيماوية - بسيط,صدم صهريج مواد كيماوية - بسيط,5,0.00000694
188,صدم صهريج محروقات - بسيط,صدم صهريج محروقات - بسيط,5,0.00000694
189,صدم جسم في الشارع - بليغ,صدم جسم في الشارع - بليغ,5,0.00000694
190,مىأة فإعءـ ىخػؽك - ؽنضإ,مىأة فإعء ىخػؽك - ؽنضإ,5,0.00000694
191,ػاهخ رـرفق لزرسػ - ظنضء,ػاهخ ررفق لزرسػ - ظنضء,5,0.00000694
192,سقوط مركبة من على جسر - بسيط,سقوط مركبة من على جسر - بسيط,5,0.00000694
193,حادث ضد مجهول- متوسط,حادث ضد مجهول - متوسط,4,0.00000555
194,سهغى هأز ذس ؿخوكفت - ػلطا,سهغى هأز ذس ؿخوكفت - ػلطا,4,0.00000555
195,سقوط حاوية- بليغ,سقوط حاوية - بليغ,4,0.00000555
196,سقوط مركبة من على جسر- بسيط,سقوط مركبة من على جسر - بسيط,3,0.00000417
197,صدم ترام - بسيط,صدم ترام - بسيط,3,0.00000417
198,تدهور حافلة مدرسية - بليغ,تدهور حافلة مدرسية - بليغ,3,0.00000417
199,سقوط مركبة من ارتفاع- بليغ,سقوط مركبة من ارتفاع - بليغ,3,0.00000417
200,حادث تدهور صهريج لمواد قابلة للاشتعال- بليغ,حادث تدهور صهريج لمواد قابلة للاشتعال - بليغ,3,0.00000417
